,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
Items,Agric eggs medium size,Agric eggs(medium size price of one),Beans brown,Beans white,Beef Bone in,Beef boneless,Bread sliced 500g,Bread unsliced 500g,Ofada,Chicken Feet,Chicken Wings,Evaporated tinned milk carnation 170g,"Evaporated tinned milk(peak), 170g",Frozen chicken,"Gari white,sold loose","Gari yellow,sold loose",Mudfish (aro) fresh,Mudfish dried,Onion bulb,Rice agric sold loose,Rice local sold loose,Rice Medium Grained,Rice imported,Tomato,Yam tuber,Dried Fish Sardine,Iced Sardine,Irish potato,Sweet potato,Tilapia fresh,Titus frozen,Catfish fresh,Catfish dried,Catfish Smoked,Mackerel frozen,Groundnut bottle,Maize grain white sold loose,Maize grain yellow sold loose,"Palm oil: 1 bottle,specify bottle",Plantain ripe,Plantain unripe,Vegetable bottle,Wheat flour: prepacked (golden penny 2kg)
Abia,701.0589571428567,63.39033333333333,765.857955609,760.5229285714283,1402.8240441394157,2393.7481224828066,575.384615384615,563.666666666667,536.963636363636,1181.5178787359998,1853.593271,193.91411387348523,259.09090909090907,2325.0,374.89795918367355,455.563909774436,1383.8336299956998,2952.761347899162,633.825196745365,535.4990206611574,450.80499999999944,509.45428904428877,677.1060606060605,682.9010885167461,443.453157140081,2524.6082708829795,1712.9271399999998,700.0,218.31050930921649,1123.5467452530515,1986.2818362317466,2016.66666666667,2958.30409356725,2191.786571428576,1913.8801635382417,1216.6666666666665,414.91228070175436,442.67973856209153,1009.0909090909089,365.612861354488,332.871428823441,1205.92592592593,1210.0
Abuja,700.6819470739999,60.035999999999994,703.2482786900202,606.1554092799917,1887.687650974026,2535.6133333333296,606.235981104,634.0902867359999,784.857142857143,729.563397154156,1758.4723,200.14,257.0,3400.0,306.904761904762,398.412698412698,1900.0,2606.3191737919997,400.759342,581.3970161290322,467.1887473118279,604.244582816512,679.6399703341013,502.8015,428.07323800401406,2157.3117465094524,1603.5615344007317,600.7569880499999,319.8214074074078,2001.7576764051998,2202.796565408,1467.3750522648038,3571.299843014128,2134.4261759999995,1656.8650496907997,1306.66666666667,221.2281723961368,228.12472412027472,1093.3333333333335,429.166666666667,354.924401145331,1281.81818181818,1300.0
Anambra,724.79564686,62.27619047619048,904.7948872180451,880.9892002734108,1480.0722018911804,2364.56326194964,496.29333333333295,473.3333333333333,482.80224493464283,1322.3890410958054,1623.6223192379998,125.12503124999999,255.3498333333331,2641.3199999999997,376.9690170940172,448.4780952380952,1183.5980714831692,2875.7764411027583,453.549783549784,606.13625,465.2032456140349,492.72143759999994,701.1888030303031,482.5175438596491,474.21230694810197,2327.132594962,1588.7530545454506,683.6489795918367,207.50125956886873,1184.004615522926,2115.635114300905,1991.88,2851.122972265828,1827.2848739495812,2058.366574661056,1152.6815999999997,301.6841699346403,328.699775401069,1051.4823529411763,488.47139527139507,405.60036079200245,1098.6888888888889,1210.8
Ebonyi,726.216872727273,61.04879999999999,892.2308571428556,888.5652233766195,1559.7698564593293,2480.5860805860802,485.99287499999997,400.83752860499993,609.1837493643791,755.2155130590662,962.599034353719,210.23106299999998,260.13,2766.5,441.66666666666663,487.037037037037,1023.0016672956158,2251.107729842591,571.112664141414,455.755599386,406.24359999999996,422.9576091144978,776.8547222222222,608.1878231292519,420.4609689383703,1727.8891034928142,1408.57142857143,857.6499999999999,312.6177692307688,1311.7341743178536,1956.239859837984,1569.3151252539903,3100.4444444444443,1990.6216539989875,1920.8727272727317,1344.0,428.396562256757,409.1342222222221,987.5546666666667,371.62001201923084,207.74365362811764,1159.0999999999965,1155.5774999999999
Enugu,747.5164285714284,62.4312,854.7128571428568,783.9522197802203,1460.184778601848,2385.70161936829,500.72303639999996,405.7583333333333,555.6289659560396,864.2857142857143,1533.3333333333333,250.0,268.57142857142856,3660.0,375.3086419753087,451.8518518518519,1813.3581865120493,2791.6666666666665,359.88573677024954,515.9721428571431,485.9082783882787,597.9592251646127,766.5369230769228,510.1575578997466,384.24044569229335,2448.2823529411744,1490.1276914999999,696.334567901234,217.547613760524,1606.953588272572,1691.0888627746735,1810.6280999999997,2531.2804329004334,1941.545150501672,1955.9592350789942,1165.9555555555555,366.5454545454546,362.3931623931625,1073.4638888888887,416.3344288981615,383.9637974139149,1148.1481481481483,1181.062
Imo,690.5785714285712,61.92944669999999,729.3148775510201,652.1859487179489,1576.3543294228682,2482.1410467448763,432.3529411764706,420.5882352941176,484.9290099999995,1100.55,1515.7575,260.31209099999995,250.97875999999965,2800.0,385.006105006105,432.551892551893,1408.1887063241702,2561.3521884638285,602.54389,608.1743055555555,500.32411111111105,577.9431481481479,744.0205242315798,514.272543059777,382.0797307039594,2012.0,1812.4297199999999,561.0315789473684,187.2429316776775,1661.5963136031653,1951.9528296932845,1776.4199999999998,3024.725538461536,2016.26684784,1926.9314439946043,1292.8075876799999,397.5,400.363636363636,975.8841025641027,348.493983881288,305.65721879012864,1158.4242424242425,1210.0742857142827
A_Ibom,749.6603571428568,62.617007142857155,621.0561709401712,528.8356296296301,1311.2669912087908,2259.393045278,464.445166666667,475.28499999999997,475.1279741767526,1092.853846153844,1279.5987556561088,213.58700435659094,248.6957142857147,2565.64819672,282.79438775510204,272.69863945578226,1481.8715846994535,1851.1066677798221,685.825162337662,668.917501605,480.557619047619,611.7782492565,647.9428571428572,561.7886904761909,530.1658603101696,1458.3068376068422,1552.4185714285727,790.0,390.05301708659977,1365.364285714287,2296.05519480519,1807.8971153349364,2265.0465294840283,1879.824857026147,1338.1945356840947,1058.4,433.7765934065934,404.6871111111111,984.0000000000002,340.80169058187755,316.3449968709606,1071.9999999999998,1188.5563446449999
Bayelsa,800.4,70.035,603.4586787280699,555.5637187425573,1705.404643182547,2206.4855020363443,580.6919142857139,560.963828571429,605.3025,1435.3326923076877,1781.9051593406573,235.11749999999998,282.49411764705883,2700.0,315.38444311536415,327.0274671052631,1318.105217630854,1936.906331647705,600.6216898395726,656.3587171052632,589.1912674085783,671.7642857142857,743.8127093301435,551.3699297823886,486.8630447041243,1951.7202634369328,1311.678614718614,663.03,380.8168386297804,1714.7706896551726,2136.5833018993626,1546.2941150636802,2261.09042018463,1819.0825942350332,1428.1137037658777,913.9200000000034,465.72022621979215,466.2357383968446,944.5333333333333,293.0354117697803,266.95559448849093,1043.725,1213.2275
C_River,756.8570039525691,63.95139130434782,617.4564988344987,603.426604159239,1718.9426190476229,2198.012306845199,456.75,412.11071428571427,422.02909090909077,1251.10836156,1553.4236552959999,195.117,262.8849090909091,2750.0,288.42651443186,257.6078881987578,1833.5237179487183,2325.6941204492523,602.0527885000945,570.9924242424241,414.9861934856587,570.5593073593072,636.481918081918,527.9743622935896,275.9968082750921,2313.899999999996,1383.1948593073594,605.555555555556,176.324012976755,1737.3575498575494,2122.61904761905,1633.3740333740334,2494.0313852813847,2104.9805357142845,1715.6060515873041,1333.3333333333333,388.8888888888889,374.6031746031746,1045.8333333333333,200.11529221342155,169.21075158133456,1122.0,1082.3590909090908
Delta,782.5786874999999,68.31483806899999,633.769411764706,593.1594223057641,1507.7322786961802,2346.9012727272698,471.62699999999995,463.7039999999996,435.48917577,1446.755454545459,2025.4576363636327,240.60285130499997,247.37362499999998,2442.8875,363.8460477941176,385.14057093425606,1733.7920227920242,2781.6778998103646,528.2853333333337,650.5930765550238,501.11632316084285,600.5948842105263,686.9030125313284,616.8417665009041,302.5335231217584,1936.5948717948706,1491.8545454545454,655.2,187.3621014976199,1556.5610859728506,2289.234911288399,1368.5542857142857,2963.0268804112507,1963.9300161876345,1553.8375289575263,1261.5235636363618,373.48318713450294,373.2090643274854,943.75,320.968543218937,295.458879074018,1103.72549019607,1053.3333333333333
Rivers,744.6052173913043,62.874646128,642.7536231884058,631.3726194753863,1534.8313487434223,2441.849339356295,492.06,466.16210526315786,628.641088478,1409.4777234530159,1749.7887394957982,225.11249999999998,291.45,2302.6733333333327,368.95670995671,408.7466501752217,1410.27643184,2803.8086288,496.9575997125405,656.174233155,576.1482947596634,623.6523342447023,790.533409090909,535.9308035714286,603.6403597816703,2027.0105725171557,1681.4050700553908,751.2857142857142,328.81703152747025,1692.5116713352,2287.700638491946,1475.363121089437,2175.1712852664577,1926.4,1731.1417308664813,1112.47741584,385.047995482778,380.83142639206704,930.4833102986136,442.2389377289376,403.04743238693754,1122.22222222222,1030.0
