,Title,Date,State,Total Deaths,full place name
0,Army Barracks Attack Ahead of Goodluck Jonathan's Inauguration,5/29/11,Bauchi,20,"Bauchi, Bauchi, Nigeria"
1,Kaduna,5/29/11,Kaduna,6,"Zaria, Kaduna, Nigeria"
2,Morning Attack in Zaria,5/30/11,Kaduna,2,"Zaria, Kaduna, Nigeria"
3,Shehu of Borno's Brother Killed,5/30/11,Borno,1,"Maiduguri, Borno, Nigeria"
4,Attempted Attack on Government Vaccine Warehouse,6/2/11,Borno,0,"Maiduguri, Borno, Nigeria"
5,Militants Kill Muslim Cleric Ibrahim Burkuti,6/6/11,Borno,1,"Biu, Borno, Nigeria"
6,Bomb Blasts Outside St. Patrick's Catholic Church,6/7/11,Borno,5,"Maiduguri, Borno, Nigeria"
7,Bombing of Kano Motor Park,6/7/11,Borno,0,"Maiduguri, Borno, Nigeria"
8,David Usman and  Shot Dead,6/7/11,Borno,2,"Maiduguri, Borno, Nigeria"
9,"Explosion, Firefight at Gwange Police Station",6/7/11,Borno,3,"Maiduguri, Borno, Nigeria"
10,Explosions at Dandal Police Station,6/7/11,Borno,0,"Maiduguri, Borno, Nigeria"
11,Attack on Church in Damboa,6/16/11,Borno,4,"Damboa, Borno, Nigeria"
12,Attack on Nigeria's Police HQ,6/16/11,Federal Capital Territory,2,"Abuja Municipal Area Council (AMAC), Federal Capital Territory, Nigeria"
13,Bank Assault in Katsina,6/20/11,Katsina,0,"Kankara, Katsina, Nigeria"
14,Gunmen Kill Police Officer in Maiduguri,6/20/11,Borno,1,"Maiduguri, Borno, Nigeria"
15,Militants Attack Police Station in Katsina,6/20/11,Katsina,0,"Kankara, Katsina, Nigeria"
16,Miltants Fire on Civilians in Maiduguri,6/20/11,Borno,2,"Maiduguri, Borno, Nigeria"
17,"Suspected Militants Carry Out Sophisticated Attack on Bank, Police Station in Kankara",6/21/11,Katsina,7,"Kankara, Katsina, Nigeria"
18,Suspected Pirates Ambush Police Officers in Bayelsa,6/21/11,Bayelsa,2,"Yenegoa, Bayelsa, Nigeria"
19,Bomb Explosion at Maiduguri Beer Parlor,6/26/11,Borno,25,"Maiduguri, Borno, Nigeria"
20,Bomb Attack at Maiduguri Custom House,6/27/11,Borno,5,"Maiduguri, Borno, Nigeria"
21,Attack on Beer Bar in Maiduguri,7/3/11,Borno,10,"Maiduguri, Borno, Nigeria"
22,Mustafa BArmed Actorsle Assassinated in Maiduguri,7/3/11,Borno,1,"Maiduguri, Borno, Nigeria"
23,Suspected Militants Kill Four and Steal N21.5 Million in Biu,7/4/11,Borno,4,"Biu, Borno, Nigeria"
24,Toro Police Station Attack,7/5/11,Bauchi,0,"Toro, Bauchi, Nigeria"
25,Boko Haram Attacks Military Patrol in Maiduguri,7/6/11,Borno,0,"Maiduguri, Borno, Nigeria"
26,Customs Officer Killed,7/6/11,Borno,1,"Maiduguri, Borno, Nigeria"
27,Militants Kill Detective,7/6/11,Borno,1,"Maiduguri, Borno, Nigeria"
28,Militants Target Police Officer,7/6/11,Borno,1,"Maiduguri, Borno, Nigeria"
29,Police Brutality After Bomb Blasts in Maiduguri,7/9/11,Borno,41,"Maiduguri, Borno, Nigeria"
30,Attack on JTF Forces in Maiduguri,7/10/11,Borno,11,"Maiduguri, Borno, Nigeria"
31,Bomb Explosion at Hotel in Kaduna,7/10/11,Kaduna,0,"Kaduna North, Kaduna, Nigeria"
32,Bomb Kills At Least Three Churchgoers in Suleja,7/10/11,Niger,4,"Suleja, Niger, Nigeria"
33,Niger State Explosion at Church,7/11/11,Niger,0,"Suleja, Niger, Nigeria"
34,Three Dead in Baga Road Blast,7/12/11,Borno,5,"Maiduguri, Borno, Nigeria"
35,Violence Following Protests in Eket,7/18/11,Akwa Ibom,3,"Eket, Akwa Ibom, Nigeria"
36,Renewed Violence in Jos,7/19/11,Plateau,5,"Jos South, Plateau, Nigeria"
37,Bombs Explode in Maiduguri,7/22/11,Borno,0,"Maiduguri, Borno, Nigeria"
38,Ex-Militants Killed in Bayelsa,7/23/11,Bayelsa,5,"Yenegoa, Bayelsa, Nigeria"
39,Explosion Near the Shehu of Borno's Palace in Maiduguri,7/23/11,Borno,0,"Maiduguri, Borno, Nigeria"
40,District Head Assassinated in Maiduguri,7/26/11,Borno,2,"Maiduguri, Borno, Nigeria"
41,Jos Bomb Attacks,8/1/11,Plateau,0,"Jos South, Plateau, Nigeria"
42,"Police Kill Three, Injure Twenty Alleged Criminals in Anambra",8/1/11,Anambra,3,"Idemili south, Anambra, Nigeria"
43,Bomb Attack in Maiduguri,8/2/11,Borno,1,"Maiduguri, Borno, Nigeria"
44,MASSOB Shoot-Out in Onitsha,8/3/11,Anambra,6,"Onitsha North, Anambra, Nigeria"
45,Explosion on Baga Road in Maiduguri,8/4/11,Borno,2,"Maiduguri, Borno, Nigeria"
46,JTF Soldier Kills Girl in Maiduguri,8/6/11,Borno,1,"Maiduguri, Borno, Nigeria"
47,Miltants Attack Police Convoy in Bauchi,8/6/11,Bauchi,0,"Bauchi, Bauchi, Nigeria"
48,Police Wounded in Bauchi Explosion,8/7/11,Bauchi,0,"Bauchi, Bauchi, Nigeria"
49,Raid in Bisichi,8/8/11,Plateau,2,"Jos South, Plateau, Nigeria"
50,Teacher Gunned Down in Maiduguri,8/8/11,Borno,1,"Maiduguri, Borno, Nigeria"
51,Violence in Bisichi,8/8/11,Plateau,2,"Jos South, Plateau, Nigeria"
52,Abraka University Violence,8/9/11,Delta,2,"Asaba, Delta, Nigeria"
53,"Arrests, Clashes in Biu",8/9/11,Borno,1,"Biu, Borno, Nigeria"
54,Attack on Maiduguri Bank,8/9/11,Borno,2,"Maiduguri, Borno, Nigeria"
55,Attack on Maiduguri Police Station,8/9/11,Borno,0,"Maiduguri, Borno, Nigeria"
56,Chevron Flow Station Explosion in Delta State,8/11/11,Delta,0,"Warri North, Delta, Nigeria"
57,Muslim Cleric Assassinated in Ngala,8/12/11,Borno,1,"Ngala, Borno, Nigeria"
58,Five Die from Excessive Use of Force in Anambra,8/13/11,Anambra,5,"Anaocha, Anambra, Nigeria"
59,Jos Reprisal Killings,8/14/11,Plateau,15,"Jos South, Plateau, Nigeria"
60,Attacks in Heipang and Foron,8/15/11,Plateau,15,"Jos South, Plateau, Nigeria"
61,Suicide Bomber Dies in Unsuccessful Maiduguri Attack,8/15/11,Borno,1,"Maiduguri, Borno, Nigeria"
62,Bank Seige in Gamawa,8/16/11,Bauchi,0,"Gamawa, Bauchi, Nigeria"
63,Police Station Attacked,8/16/11,Borno,2,"Maiduguri, Borno, Nigeria"
64,Attack in Jos,8/18/11,Plateau,2,"Jos South, Plateau, Nigeria"
65,Suspected Boko Haram Members Kill Policemen,8/19/11,Borno,4,"Maiduguri, Borno, Nigeria"
66,Jos Violence,8/20/11,Plateau,4,"Jos South, Plateau, Nigeria"
67,"Police, Bank Attacks in Gombi",8/25/11,Adamawa,16,", Adamawa, Nigeria"
68,Attack on UN Headquarters in Abuja,8/26/11,Federal Capital Territory,23,"Federal Capital Territory Municipal Area Council (AMAC), Federal Capital Territory, Nigeria"
69,Renewed Jos Violence,8/29/11,Plateau,20,"Jos South, Plateau, Nigeria"
70,Religious Violence in Jos,9/1/11,Plateau,42,"Jos South, Plateau, Nigeria"
71,Attacks Near Jos Leave Four Dead,9/4/11,Plateau,4,"Jos South, Plateau, Nigeria"
72,Gunmen Shot Muslim Cleric Dead in Maiduguri,9/4/11,Borno,1,"Maiduguri, Borno, Nigeria"
73,Seven Die in Dabwak,9/4/11,Plateau,8,"Jos North, Plateau, Nigeria"
74,Tahu Violence Leaves Eight Dead,9/4/11,Plateau,8,"Barkin Ladi, Plateau, Nigeria"
75,Explosion in Maiduguri,9/6/11,Borno,0,"Maiduguri, Borno, Nigeria"
76,Nine Murdered in Jos Attack,9/9/11,Plateau,9,"Barkin Ladi, Plateau, Nigeria"
77,Three Murdered in Another Jos Attack,9/9/11,Plateau,3,"Barkin Ladi, Plateau, Nigeria"
78,Fifteen Dead in Vwang Attack,9/10/11,Plateau,15,"Jos South, Plateau, Nigeria"
79,Explosions in Jos,9/11/11,Plateau,0,"Jos South, Plateau, Nigeria"
80,Seven Die in Misau,9/12/11,Bauchi,7,"Misau, Bauchi, Nigeria"
81,Four Dead in Maiduguri Shooting,9/13/11,Borno,4,"Maiduguri, Borno, Nigeria"
82,Babakura Fugu Killed in Maiduguri,9/17/11,Borno,1,"Maiduguri, Borno, Nigeria"
83,Four Killed in Bitaro,9/18/11,Kaduna,4,"Jaba, Kaduna, Nigeria"
84,Nasarawa Priest Killed,9/23/11,Nasarawa,1,"Wamba, Nasarawa, Nigeria"
85,"Gunmen Kill Beer Distributor, Wife at Zuba",9/29/11,Federal Capital Territory,2,", Federal Capital Territory, Nigeria"
86,Bombing and Shootout in Maiduguri,10/1/11,Borno,3,"Maiduguri, Borno, Nigeria"
87,Gunmen Kill Two During Maiduguri Attack,10/1/11,Borno,2,"Maiduguri, Borno, Nigeria"
88,Attacks in Zamfara Leave Nineteen Dead,10/2/11,Zamfara,19,", Zamfara, Nigeria"
89,Gunmen Murder Three in Maiduguri,10/3/11,Borno,3,"Maiduguri, Borno, Nigeria"
90,Tanjol Violence Leaves Two Dead,10/4/11,Plateau,2,", Plateau, Nigeria"
91,Two Suspected Boko Haram Members Killed,10/5/11,Borno,2,"Maiduguri, Borno, Nigeria"
92,Enugu PDP Chief Assassinated,10/7/11,Enugu,1,"Enugu South, Enugu, Nigeria"
93,Confusion Leads to Death of Two Ex- Massob Members in Onitsha,10/8/11,Anambra,2,"Onitsha North, Anambra, Nigeria"
94,Niger LGA Elections Leave One Dead,10/8/11,Niger,1,"Kontagora, Niger, Nigeria"
