Title,Date,State,Total_deaths,full place name,state,latitude,longitude
Army Barracks Attack Ahead of Goodluck Jonathan's Inauguration,5/29/11,Bauchi,20,"Bauchi, Bauchi, Nigeria",Bauchi,11.68040977,10.19001339
Kaduna,5/29/11,Kaduna,6,"Zaria, Kaduna, Nigeria",Kaduna,11.0799813,7.710009724
Morning Attack in Zaria,5/30/11,Kaduna,2,"Zaria, Kaduna, Nigeria",Kaduna,11.0799813,7.710009724
Shehu of Borno's Brother Killed,5/30/11,Borno,1,"Maiduguri, Borno, Nigeria",Borno,10.62042279,12.18999467
Attempted Attack on Government Vaccine Warehouse,6/2/11,Borno,0,"Maiduguri, Borno, Nigeria",Borno,10.62042279,12.18999467
Militants Kill Muslim Cleric Ibrahim Burkuti,6/6/11,Borno,1,"Biu, Borno, Nigeria",Borno,10.62042279,12.18999467
Bomb Blasts Outside St. Patrick's Catholic Church,6/7/11,Borno,5,"Maiduguri, Borno, Nigeria",Borno,10.62042279,12.18999467
Bombing of Kano Motor Park,6/7/11,Borno,0,"Maiduguri, Borno, Nigeria",Borno,10.62042279,12.18999467
David Usman and  Shot Dead,6/7/11,Borno,2,"Maiduguri, Borno, Nigeria",Borno,10.62042279,12.18999467
"Explosion, Firefight at Gwange Police Station",6/7/11,Borno,3,"Maiduguri, Borno, Nigeria",Borno,10.62042279,12.18999467
Explosions at Dandal Police Station,6/7/11,Borno,0,"Maiduguri, Borno, Nigeria",Borno,10.62042279,12.18999467
Attack on Church in Damboa,6/16/11,Borno,4,"Damboa, Borno, Nigeria",Borno,10.62042279,12.18999467
Attack on Nigeria's Police HQ,6/16/11,Federal Capital Territory,2,"Abuja Municipal Area Council (AMAC), Federal Capital Territory, Nigeria",Federal Capital Territory,9.083333149,7.533328002
Bank Assault in Katsina,6/20/11,Katsina,0,"Kankara, Katsina, Nigeria",Katsina,11.5203937,7.320007689
Gunmen Kill Police Officer in Maiduguri,6/20/11,Borno,1,"Maiduguri, Borno, Nigeria",Borno,10.62042279,12.18999467
Militants Attack Police Station in Katsina,6/20/11,Katsina,0,"Kankara, Katsina, Nigeria",Katsina,11.5203937,7.320007689
Miltants Fire on Civilians in Maiduguri,6/20/11,Borno,2,"Maiduguri, Borno, Nigeria",Borno,10.62042279,12.18999467
"Suspected Militants Carry Out Sophisticated Attack on Bank, Police Station in Kankara",6/21/11,Katsina,7,"Kankara, Katsina, Nigeria",Katsina,11.5203937,7.320007689
Suspected Pirates Ambush Police Officers in Bayelsa,6/21/11,Bayelsa,2,"Yenegoa, Bayelsa, Nigeria",,,
Bomb Explosion at Maiduguri Beer Parlor,6/26/11,Borno,25,"Maiduguri, Borno, Nigeria",Borno,10.62042279,12.18999467
Bomb Attack at Maiduguri Custom House,6/27/11,Borno,5,"Maiduguri, Borno, Nigeria",Borno,10.62042279,12.18999467
Attack on Beer Bar in Maiduguri,7/3/11,Borno,10,"Maiduguri, Borno, Nigeria",Borno,10.62042279,12.18999467
Mustafa BArmed Actorsle Assassinated in Maiduguri,7/3/11,Borno,1,"Maiduguri, Borno, Nigeria",Borno,10.62042279,12.18999467
Suspected Militants Kill Four and Steal N21.5 Million in Biu,7/4/11,Borno,4,"Biu, Borno, Nigeria",Borno,10.62042279,12.18999467
Toro Police Station Attack,7/5/11,Bauchi,0,"Toro, Bauchi, Nigeria",Bauchi,11.68040977,10.19001339
Boko Haram Attacks Military Patrol in Maiduguri,7/6/11,Borno,0,"Maiduguri, Borno, Nigeria",Borno,10.62042279,12.18999467
Customs Officer Killed,7/6/11,Borno,1,"Maiduguri, Borno, Nigeria",Borno,10.62042279,12.18999467
Militants Kill Detective,7/6/11,Borno,1,"Maiduguri, Borno, Nigeria",Borno,10.62042279,12.18999467
Militants Target Police Officer,7/6/11,Borno,1,"Maiduguri, Borno, Nigeria",Borno,10.62042279,12.18999467
Police Brutality After Bomb Blasts in Maiduguri,7/9/11,Borno,41,"Maiduguri, Borno, Nigeria",Borno,10.62042279,12.18999467
Attack on JTF Forces in Maiduguri,7/10/11,Borno,11,"Maiduguri, Borno, Nigeria",Borno,10.62042279,12.18999467
Bomb Explosion at Hotel in Kaduna,7/10/11,Kaduna,0,"Kaduna North, Kaduna, Nigeria",Kaduna,11.0799813,7.710009724
Bomb Kills At Least Three Churchgoers in Suleja,7/10/11,Niger,4,"Suleja, Niger, Nigeria",Niger,10.4003587,5.469939737
Niger State Explosion at Church,7/11/11,Niger,0,"Suleja, Niger, Nigeria",Niger,10.4003587,5.469939737
Three Dead in Baga Road Blast,7/12/11,Borno,5,"Maiduguri, Borno, Nigeria",Borno,10.62042279,12.18999467
Violence Following Protests in Eket,7/18/11,Akwa Ibom,3,"Eket, Akwa Ibom, Nigeria",Akwa Ibom,5.007996056,7.849998524
Renewed Violence in Jos,7/19/11,Plateau,5,"Jos South, Plateau, Nigeria",Plateau,9.929973978,8.890041055
Bombs Explode in Maiduguri,7/22/11,Borno,0,"Maiduguri, Borno, Nigeria",Borno,10.62042279,12.18999467
Ex-Militants Killed in Bayelsa,7/23/11,Bayelsa,5,"Yenegoa, Bayelsa, Nigeria",,,
Explosion Near the Shehu of Borno's Palace in Maiduguri,7/23/11,Borno,0,"Maiduguri, Borno, Nigeria",Borno,10.62042279,12.18999467
District Head Assassinated in Maiduguri,7/26/11,Borno,2,"Maiduguri, Borno, Nigeria",Borno,10.62042279,12.18999467
Jos Bomb Attacks,8/1/11,Plateau,0,"Jos South, Plateau, Nigeria",Plateau,9.929973978,8.890041055
"Police Kill Three, Injure Twenty Alleged Criminals in Anambra",8/1/11,Anambra,3,"Idemili south, Anambra, Nigeria",Anambra,6.210433572,7.06999711
Bomb Attack in Maiduguri,8/2/11,Borno,1,"Maiduguri, Borno, Nigeria",Borno,10.62042279,12.18999467
MASSOB Shoot-Out in Onitsha,8/3/11,Anambra,6,"Onitsha North, Anambra, Nigeria",Anambra,6.210433572,7.06999711
Explosion on Baga Road in Maiduguri,8/4/11,Borno,2,"Maiduguri, Borno, Nigeria",Borno,10.62042279,12.18999467
JTF Soldier Kills Girl in Maiduguri,8/6/11,Borno,1,"Maiduguri, Borno, Nigeria",Borno,10.62042279,12.18999467
Miltants Attack Police Convoy in Bauchi,8/6/11,Bauchi,0,"Bauchi, Bauchi, Nigeria",Bauchi,11.68040977,10.19001339
